n_estimators,tree_depth,min_samples_split,max_features,Accuracy
15,8,5,8,0.872564
15,8,5,10,0.874359
15,8,5,12,0.876923
15,8,5,16,0.867949
15,8,10,2,0.725897
15,8,10,4,0.832821
15,8,10,8,0.877179
15,8,10,10,0.874103
15,8,10,12,0.879744
15,8,10,16,0.864103
15,8,15,2,0.690256
15,8,15,4,0.837692
15,8,15,8,0.867692
15,8,15,10,0.876923
15,8,15,12,0.874872
15,8,15,16,0.856154
15,8,20,2,0.707179
15,8,20,4,0.84
15,8,20,8,0.874359
15,8,20,10,0.872308
15,8,20,12,0.874103
15,8,20,16,0.861282
15,8,25,2,0.693077
15,8,25,4,0.830513
15,8,25,8,0.875128
15,8,25,10,0.875897
15,8,25,12,0.872564
15,8,25,16,0.865128
15,8,30,2,0.719231
15,8,30,4,0.831538
15,8,30,8,0.867949
15,8,30,10,0.869744
15,8,30,12,0.869487
15,8,30,16,0.855128
10,12,2,2,0.652051
10,12,2,4,0.824615
10,12,2,8,0.878974
10,12,2,10,0.891282
10,12,2,12,0.89
10,12,2,16,0.894103
10,12,5,2,0.663333
10,12,5,4,0.810769
10,12,5,8,0.881538
10,12,5,10,0.885128
10,12,5,12,0.885385
10,12,5,16,0.888974
10,12,10,2,0.693846
10,12,10,4,0.821282
10,12,10,8,0.880769
10,12,10,10,0.889231
10,12,10,12,0.892564
10,12,10,16,0.885641
10,12,15,2,0.666667
10,12,15,4,0.82641
10,12,15,8,0.870256
10,12,15,10,0.886923
10,12,15,12,0.887692
10,12,15,16,0.882308
10,12,20,2,0.671795
10,12,20,4,0.817692
10,12,20,8,0.883846
10,12,20,10,0.880769
10,12,20,12,0.887692
10,12,20,16,0.883333
10,12,25,2,0.677179
10,12,25,4,0.827692
10,12,25,8,0.874359
10,12,25,10,0.876154
10,12,25,12,0.879231
10,12,25,16,0.878462
10,12,30,2,0.675897
10,12,30,4,0.824103
10,12,30,8,0.878205
10,12,30,10,0.878462
10,12,30,12,0.88359
10,12,30,16,0.866667
10,16,2,2,0.68359
10,16,2,4,0.820256
10,16,2,8,0.881026
10,16,2,10,0.887692
10,16,2,12,0.894615
10,16,2,16,0.888205
10,16,5,2,0.672308
10,16,5,4,0.823077
10,16,5,8,0.876667
10,16,5,10,0.885385
10,16,5,12,0.89359
10,16,5,16,0.885385
10,16,10,2,0.668205
10,16,10,4,0.828462
10,16,10,8,0.882821
10,16,10,10,0.884872
10,16,10,12,0.895385
10,16,10,16,0.882564
10,16,15,2,0.670256
10,16,15,4,0.833333
10,16,15,8,0.875385
10,16,15,10,0.888462
10,16,15,12,0.884615
10,16,15,16,0.890256
