n_estimators,tree_depth,min_samples_split,max_features,Accuracy
10,16,30,2,0.683333
10,16,30,4,0.865385
10,16,30,8,0.931795
10,16,30,10,0.938205
10,16,30,12,0.939231
10,16,30,16,0.93641
10,20,25,2,0.695641
10,20,25,4,0.867949
10,20,25,8,0.942564
10,20,25,10,0.944103
10,20,25,12,0.943333
10,20,25,16,0.936923
10,20,30,2,0.678974
10,20,30,4,0.867692
10,20,30,8,0.931282
10,20,30,10,0.937436
10,20,30,12,0.941026
10,20,30,16,0.931795
20,20,2,2,0.731538
20,20,2,4,0.928718
20,20,2,8,0.965641
20,20,2,10,0.966923
20,20,2,12,0.966923
20,20,2,16,0.957179
20,20,5,2,0.762308
20,20,5,4,0.920769
20,20,5,8,0.967436
20,20,5,10,0.969231
20,20,5,12,0.968974
20,20,5,16,0.958462
20,20,10,2,0.752821
20,20,10,4,0.916667
20,20,10,8,0.962051
20,20,10,10,0.967692
20,20,10,12,0.96359
20,20,10,16,0.959744
20,20,15,2,0.764872
20,20,15,4,0.914359
20,20,15,8,0.961538
20,20,15,10,0.964359
20,20,15,12,0.964103
20,20,15,16,0.959231
20,20,20,2,0.747949
20,20,20,4,0.914359
20,20,20,8,0.954872
20,20,20,10,0.960513
20,20,20,12,0.960256
20,20,20,16,0.952821
20,20,25,2,0.737436
20,20,25,4,0.913333
20,20,25,8,0.953077
20,20,25,10,0.957179
20,20,25,12,0.957692
20,20,25,16,0.943846
20,20,30,2,0.761795
20,20,30,4,0.904872
20,20,30,8,0.948462
20,20,30,10,0.957692
20,20,30,12,0.950769
20,20,30,16,0.943846
25,20,2,2,0.763333
25,20,2,4,0.934872
25,20,2,8,0.970769
25,20,2,10,0.973077
25,20,2,12,0.972821
25,20,2,16,0.960256
25,20,5,2,0.782821
25,20,5,4,0.923846
25,20,5,8,0.970256
25,20,5,10,0.970513
25,20,5,12,0.968974
25,20,5,16,0.963846
25,20,10,2,0.771026
25,20,10,4,0.924872
25,20,10,8,0.965897
25,20,10,10,0.968718
25,20,10,12,0.967179
25,20,10,16,0.957949
25,20,15,2,0.777692
25,20,15,4,0.930769
25,20,15,8,0.964615
25,20,15,10,0.963846
25,20,15,12,0.964615
25,20,15,16,0.957179
25,20,20,2,0.765897
25,20,20,4,0.92359
25,20,20,8,0.960769
25,20,20,10,0.962821
25,20,20,12,0.961026
25,20,20,16,0.954615
25,20,25,2,0.759744
25,20,25,4,0.912821
25,20,25,8,0.957179
25,20,25,10,0.960256
25,20,25,12,0.955128
25,20,25,16,0.945897
25,20,30,2,0.756923
25,20,30,4,0.915128
25,20,30,8,0.957692
25,20,30,10,0.957179
25,20,30,12,0.953333
25,20,30,16,0.940513
30,4,2,2,0.73641
30,4,2,4,0.772821
30,4,2,8,0.760513
30,4,2,10,0.751795
30,4,2,12,0.716667
30,4,2,16,0.661282
30,4,5,2,0.722308
30,4,5,4,0.771026
30,4,5,8,0.767179
30,4,5,10,0.745128
30,4,5,12,0.72
30,4,5,16,0.665128
30,4,10,2,0.725128
30,4,10,4,0.787436
30,4,10,8,0.779231
30,4,10,10,0.754872
30,4,10,12,0.72359
30,4,10,16,0.655897
30,4,15,2,0.736667
30,4,15,4,0.781026
30,4,15,8,0.76
30,4,15,10,0.758718
30,4,15,12,0.733077
30,4,15,16,0.664359
30,4,20,2,0.732821
30,4,20,4,0.772308
